Marque;Année;VEHICLE SALES;SALES REVENUE
Volkswagen Passenger Cars;2022;2594;73773
Audi;2022;1070;61753
ŠKODA;2022;863;21026
SEAT;2022;468;10941
Bentley;2022;;
Porsche;2022;314;34591
"Volkswagen
Commercial Vehicles";2022;340;11455
Scania;2022;;
MAN;2022;;
VW China;2022;3122;
Other;2022;-400;-18907
Volkswagen Passenger Cars;2021;2719;67856
Audi;2021;1024;55914
ŠKODA;2021;784;17743
SEAT;2021;494;9614
Bentley;2021;;
Porsche;2021;297;30289
"Volkswagen
Commercial Vehicles";2021;326;9909
Scania;2021;;
MAN;2021;;
VW China;2021;3042;–
Other;2021;-195;-13410
Volkswagen Passenger Cars;2020;2835;71076
Audi;2020;1017;49973
ŠKODA;2020;849;17081
SEAT;2020;484;9198
Bentley;2020;11;2049
Porsche;2020;265;26086
"Volkswagen
Commercial Vehicles";2020;345;9358
Scania;2020;73;11521
MAN;2020;118;10838
VW China;2020;3577;
Other;2020;-418;-26573
Volkswagen Passenger Cars;2019;3677;88407
Audi;2019;1200;55680
ŠKODA;2019;1062;19806
SEAT;2019;667;11496
Bentley;2019;12;2092
Porsche;2019;277;26060
"Volkswagen
Commercial Vehicles";2019;456;11473
Scania;2019;101;13934
MAN;2019;143;12663
VW China;2019;4048;
Other;2019;-685;-30931
Volkswagen Passenger Cars;2018;3715;84585
Audi;2018;1467;59248
ŠKODA;2018;957;17293
SEAT;2018;608;10202
Bentley;2018;10;1548
Porsche;2018;253;23668
"Volkswagen
Commercial Vehicles";2018;469;11875
Scania;2018;97;13360
MAN;2018;;
VW China;2018;4101;
Other;2018;-912;-34408
Volkswagen Passenger Cars;2017;3573;79186
Audi;2017;1530;59789
ŠKODA;2017;937;16559
SEAT;2017;595;9892
Bentley;2017;11;1843
Porsche;2017;248;21674
"Volkswagen
Commercial Vehicles";2017;498;11909
Scania;2017;92;12789
MAN;2017;;
VW China;2017;4020;–
Other;2017;-840;-30288
Volkswagen Passenger Cars;2016;4347;105651
Audi;2016;1534;59317
ŠKODA;2016;814;13705
SEAT;2016;548;8894
Bentley;2016;11;2031
Porsche;2016;239;22318
"Volkswagen
Commercial Vehicles";2016;478;11120
Scania;2016;83;11303
MAN;2016;;
VW China;2016;3873;–
Other;2016;-1638;-58225
Volkswagen Passenger Cars;2015;4424;106240
Audi;2015;1529;58420
ŠKODA;2015;800;12486
SEAT;2015;544;8572
Bentley;2015;11;1936
Porsche;2015;219;21533
"Volkswagen
Commercial Vehicles";2015;456;10341
Scania;2015;78;10479
MAN;2015;;
VW China;2015;3456;–
Other;2015;-1608;-56349
Volkswagen Passenger Cars;2014;4583;99764
Audi;2014;1444;53787
ŠKODA;2014;796;11758
SEAT;2014;501;7699
Bentley;2014;11;1746
Porsche;2014;187;17205
"Volkswagen
Commercial Vehicles";2014;442;9577
Scania;2014;80;10381
MAN;2014;120;14286
VW China;2014;3506;–
Other;2014;-1454;-45885
Volkswagen Passenger Cars;2013;4704;99397
Audi;2013;1349;49880
ŠKODA;2013;719;10324
SEAT;2013;459;6874
Bentley;2013;11;1679
Porsche;2013;155;14326
"Volkswagen
Commercial Vehicles";2013;436;9370
Scania;2013;80;10360
MAN;2013;140;15861
VW China;2013;3038;–
Other;2013;-1364;-40047
