Année;Deliveries (thousand units);Vehicle sales;Production;Sales revenue (€ million);Operating result before special items;Operating return on sales (%)
2022;4563;2594;4811;73773;2647;3,6
2021;4897;2719;4575;67856;2160;3,2
2020;5328;2835;5081;71076;454;0,6
2019;6279;3677;6184;88407;3785;4
2018;6245;3715;6297;84585;3239;4
2017;6230;3573;6317;79186;3301;4
2016;5980;4347;6073;105651;1869;2
2015;5823;4424;5898;106240;2102;2
2014;6119;4583;6156;99764;2476;3
2013;6022;4704;6017;99397;2894;3
